project,ci_tool,subcommands,skip_tests,build_tests_only,use_build_tool
xerial_sqlite-jdbc,github_actions,spotless:check,False,False,True
xerial_sqlite-jdbc,github_actions,test,False,False,True
xerial_sqlite-jdbc,github_actions,help:evaluate,False,False,True
xerial_sqlite-jdbc,github_actions,versions:set,False,False,True
xerial_sqlite-jdbc,github_actions,deploy,True,False,True
xerial_sqlite-jdbc,github_actions,jreleaser:full-release,True,False,True
criteo_biggraphite,github_actions,"clean,package",True,False,True
assertj_assertj-db,github_actions,"clean,verify,javadoc:javadoc",False,False,True
assertj_assertj-db,github_actions,sonar:sonar,False,False,True
jolie_jolie,github_actions,install,True,False,True
jolie_jolie,travis_ci,install,True,False,True
locationtech_geomesa,github_actions,"clean,install",True,False,True
locationtech_geomesa,github_actions,test,False,False,True
locationtech_geomesa,github_actions,"failsafe:integration-test,failsafe:verify",False,False,True
codecentric_chaos-monkey-spring-boot,github_actions,versions:set-property,False,False,True
codecentric_chaos-monkey-spring-boot,github_actions,"clean,package",True,False,True
codecentric_chaos-monkey-spring-boot,github_actions,spotless:check,False,False,True
codecentric_chaos-monkey-spring-boot,github_actions,verify,False,False,True
codecentric_chaos-monkey-spring-boot,github_actions,deploy,True,False,True
codecentric_chaos-monkey-spring-boot,github_actions,generate-resources,False,False,True
codecentric_chaos-monkey-spring-boot,github_actions,"asciidoctor:process-asciidoc@output-docbook,generate-resources",False,False,True
codecentric_chaos-monkey-spring-boot,github_actions,package,False,False,True
hygieia_hygieia,travis_ci,"clean,install",False,False,True
labsai_EDDI,circle_ci,"clean,compile",False,False,True
labsai_EDDI,circle_ci,test,False,False,True
labsai_EDDI,circle_ci,package,True,False,True
mguessan_davmail,travis_ci,test,False,False,True
mguessan_davmail,travis_ci,install,True,False,True
GraphWalker_graphwalker-project,github_actions,package,False,False,True
GraphWalker_graphwalker-project,github_actions,"clean,package",True,False,True
galenframework_galen,travis_ci,verify,False,False,True
galenframework_galen,travis_ci,install,True,False,True
oshi_oshi,github_actions,"verify,sonar:sonar",False,False,True
oshi_oshi,github_actions,checkstyle:check,False,False,True
oshi_oshi,github_actions,test,False,False,True
oshi_oshi,github_actions,"clean,package",True,False,True
oshi_oshi,github_actions,"site,site:stage",True,False,True
oshi_oshi,github_actions,deploy,True,False,True
oshi_oshi,github_actions,"clean,test",False,False,True
oshi_oshi,github_actions,"clean,test,jacoco:report,coveralls:report",False,False,True
oshi_oshi,github_actions,verify,True,False,True
