project,id,commit,cache_type,processes,cache_hit,status,size,commits,median_elapsed_time,label
google_brotli,84,2d0947f1ea22dc255cfac9c7e8b33576fb051340,external,54,0,success,23.0,1073.0,31.352,short build duration
google_brotli,85,d1fadddc940a23de3fad34c02879d7cfa6f86460,external,54,0,success,528.0,1073.0,30.787,short build duration
google_brotli,86,de52bc7ce07899b940b9120ec01950e171cd1a6a,external,54,0,success,249.0,1073.0,32.328,short build duration
google_brotli,87,c2848d5537c0a06aee497dd4fa2cc17505415e19,external,54,0,success,121.0,1073.0,32.469,short build duration
google_brotli,88,c3dc7d039c1587389245f05fe960897016bd290f,external,54,0,success,24.0,1073.0,30.276,short build duration
google_brotli,89,4b827e4ce47bea2e2d6ca7ebeae64d1d5c9a2f0d,external,54,0,success,256.0,1073.0,29.414,short build duration
google_brotli,90,acc265655d6dde4ff1bce65308e9e152fbf3381a,external,54,0,success,102.0,1073.0,28.818,short build duration
google_brotli,91,779a49bfd67793f64b43015a85bc5965fba2063f,external,54,0,success,16.0,1073.0,29.696,short build duration
google_brunsli,7,cb63e507f1cd7342c4f4d80c4555aafdafd5b774,local,199,0,success,177.0,114.0,1031.417,short build duration
google_brunsli,8,95a90dbedb4f9e96d3e3db57e8490cd0d1603a43,local,199,72,success,120.0,114.0,198.985,short build duration
google_brunsli,9,e811197ab1ad8ddde3e3cf444548e42e2bdacf92,local,199,72,success,7.0,114.0,192.491,short build duration
google_brunsli,10,16bf1bcfb2ad0f80faad4b62008ed3cc37b86d4d,local,199,122,success,2.0,114.0,28.091,short build duration
google_brunsli,11,35501930f5cb768ebcd8195c7c94e3e274abf8ba,local,199,122,success,2.0,114.0,26.481,short build duration
google_brunsli,12,300af107deecab45bec40c2df90611bb533b606b,local,199,108,success,2.0,114.0,64.74,short build duration
google_brunsli,7,cb63e507f1cd7342c4f4d80c4555aafdafd5b774,external,199,0,success,177.0,114.0,80.783,short build duration
google_brunsli,8,95a90dbedb4f9e96d3e3db57e8490cd0d1603a43,external,199,0,success,120.0,114.0,79.722,short build duration
google_brunsli,9,e811197ab1ad8ddde3e3cf444548e42e2bdacf92,external,199,0,success,7.0,114.0,80.062,short build duration
google_brunsli,10,16bf1bcfb2ad0f80faad4b62008ed3cc37b86d4d,external,199,0,success,2.0,114.0,78.428,short build duration
google_brunsli,11,35501930f5cb768ebcd8195c7c94e3e274abf8ba,external,199,0,success,2.0,114.0,78.652,short build duration
google_brunsli,12,300af107deecab45bec40c2df90611bb533b606b,external,199,0,success,2.0,114.0,80.797,short build duration
google_cpu_features,35,e4e535d7c254979ccee8fa097fb2ba526fb7340c,local,106,0,success,6.0,324.0,526.164,short build duration
google_cpu_features,36,49679ea9d28f4426063d9f1728cc0991150228ed,local,105,37,success,44.0,324.0,171.312,short build duration
google_cpu_features,37,84974a4db5820a07954bb427157719a3b251f16c,local,105,62,success,44.0,324.0,24.532,short build duration
google_cpu_features,38,70ca4fd06fc56a115f48a0ebb6a5d9a3b24fb7b8,local,105,62,success,139.0,324.0,24.719,short build duration
google_cpu_features,39,c219c921c5120a5a5862bb60bb7031dc4833f6c7,local,105,62,success,193.0,324.0,25.399,short build duration
google_cpu_features,40,188d0d3c383689cdb6bb70dc6da2469faec84f61,local,105,62,success,197.0,324.0,25.167,short build duration
google_cpu_features,41,dedea3a5a77f12af0639754a863b9fa5f9e7a411,local,105,46,success,2.0,324.0,69.627,short build duration
google_cpu_features,42,7fe96b1d3dd52dd4e142aa154be7fada1d26750d,local,105,60,success,12.0,324.0,30.523,short build duration
google_cpu_features,43,b04a9daf7121a6c7e8d046a372fdc194ed2728a0,local,105,49,success,17.0,324.0,54.498,short build duration
