project,subcommand,elapsed_time,critical_path,parallelism,target,commits
google_flatbuffers,build,308.327,173.96,1,//:all,2879.0
google_flatbuffers,build,364.073,240.62,1,//:all,2879.0
google_flatbuffers,build,367.679,243.43,1,//:all,2879.0
google_flatbuffers,build,283.878,164.76,1,//:all,2879.0
google_flatbuffers,build,290.596,166.37,1,//:all,2879.0
google_flatbuffers,build,169.863,97.26,2,//:all,2879.0
google_flatbuffers,build,217.499,142.71,2,//:all,2879.0
google_flatbuffers,build,161.665,82.8,2,//:all,2879.0
google_flatbuffers,build,152.32,82.89,2,//:all,2879.0
google_flatbuffers,build,151.611,82.66,2,//:all,2879.0
google_flatbuffers,build,153.446,88.89,2,//:all,2879.0
google_flatbuffers,build,201.55,92.51,2,//:all,2879.0
google_flatbuffers,build,157.547,82.07,2,//:all,2879.0
google_flatbuffers,build,149.277,80.22,2,//:all,2879.0
google_flatbuffers,build,168.438,83.53,2,//:all,2879.0
google_go-jsonnet,build,378.466,54.4,1,//:all,456.0
google_go-jsonnet,build,381.031,61.38,1,//:all,456.0
google_go-jsonnet,build,298.766,55.0,1,//:all,456.0
google_go-jsonnet,build,308.372,53.67,1,//:all,456.0
google_go-jsonnet,build,380.896,55.77,1,//:all,456.0
google_go-jsonnet,build,390.213,56.73,1,//:all,456.0
google_go-jsonnet,build,317.698,65.59,1,//:all,456.0
google_go-jsonnet,build,305.133,67.25,1,//:all,456.0
google_go-jsonnet,build,383.527,79.49,1,//:all,456.0
google_go-jsonnet,build,380.821,72.86,1,//:all,456.0
google_go-jsonnet,build,175.801,30.83,2,//:all,456.0
google_go-jsonnet,build,182.574,30.39,2,//:all,456.0
google_go-jsonnet,build,182.803,31.64,2,//:all,456.0
google_go-jsonnet,build,255.122,29.74,2,//:all,456.0
google_go-jsonnet,build,187.749,36.15,2,//:all,456.0
google_go-jsonnet,build,184.981,29.64,2,//:all,456.0
google_go-jsonnet,build,216.625,53.59,2,//:all,456.0
google_go-jsonnet,build,210.851,30.29,2,//:all,456.0
google_go-jsonnet,build,178.74,39.37,2,//:all,456.0
google_go-jsonnet,build,178.624,30.71,2,//:all,456.0
google_j2cl,build,2885.178,2425.83,1,//:all,4784.0
google_j2cl,build,2899.655,2319.45,1,//:all,4784.0
google_j2cl,build,2815.81,2668.27,1,//:all,4784.0
google_j2cl,build,2808.395,2245.24,1,//:all,4784.0
google_j2cl,build,2779.152,2631.94,1,//:all,4784.0
google_j2cl,build,2801.268,2127.77,1,//:all,4784.0
google_j2cl,build,2763.036,2253.69,1,//:all,4784.0
google_j2cl,build,2774.034,2376.46,1,//:all,4784.0
google_j2cl,build,2823.572,2259.62,1,//:all,4784.0
google_j2cl,build,2826.665,2674.69,1,//:all,4784.0
google_j2cl,build,1366.499,1176.47,2,//:all,4784.0
google_j2cl,build,1280.214,1056.4,2,//:all,4784.0
google_j2cl,build,1359.424,1079.5,2,//:all,4784.0
