project,build_tool,name,category
ngageoint_mrgeo,maven,org.apache.maven.plugins:maven-source-plugin,native
ngageoint_mrgeo,maven,org.apache.maven.plugins:maven-javadoc-plugin,native
ngageoint_mrgeo,maven,org.scala-tools:maven-scala-plugin,external
ngageoint_mrgeo,maven,org.scalatest:scalatest-maven-plugin,external
ngageoint_mrgeo,maven,org.scala-tools:maven-scala-plugin,external
ngageoint_mrgeo,maven,org.scalatest:scalatest-maven-plugin,external
ngageoint_mrgeo,maven,org.scala-tools:maven-scala-plugin,external
ngageoint_mrgeo,maven,org.scala-tools:maven-scala-plugin,external
ngageoint_mrgeo,maven,org.scalatest:scalatest-maven-plugin,external
ngageoint_mrgeo,maven,org.scalatest:scalatest-maven-plugin,external
idempiere_idempiere,maven,org.apache.maven.plugins:maven-dependency-plugin,native
idempiere_idempiere,maven,org.apache.maven.plugins:maven-antrun-plugin,native
idempiere_idempiere,maven,org.eclipse.tycho:tycho-p2-publisher-plugin,external
idempiere_idempiere,maven,org.eclipse.tycho:tycho-p2-repository-plugin,external
idempiere_idempiere,maven,org.eclipse.tycho:tycho-p2-director-plugin,external
idempiere_idempiere,maven,org.eclipse.tycho.extras:tycho-eclipserun-plugin,external
idempiere_idempiere,maven,org.apache.maven.plugins:maven-dependency-plugin,native
idempiere_idempiere,maven,org.eclipse.tycho:tycho-compiler-plugin,external
idempiere_idempiere,maven,org.apache.maven.plugins:maven-dependency-plugin,native
idempiere_idempiere,maven,org.apache.maven.plugins:maven-dependency-plugin,native
idempiere_idempiere,maven,org.eclipse.tycho:tycho-compiler-plugin,external
idempiere_idempiere,maven,org.apache.maven.plugins:maven-dependency-plugin,native
idempiere_idempiere,maven,org.eclipse.tycho:tycho-surefire-plugin,external
idempiere_idempiere,maven,org.eclipse.tycho:target-platform-configuration,external
idempiere_idempiere,maven,org.apache.maven.plugins:maven-dependency-plugin,native
idempiere_idempiere,maven,org.apache.maven.plugins:maven-dependency-plugin,native
idempiere_idempiere,maven,org.apache.maven.plugins:maven-dependency-plugin,native
idempiere_idempiere,maven,org.eclipse.tycho:tycho-compiler-plugin,external
idempiere_idempiere,maven,com.googlecode.maven-download-plugin:download-maven-plugin,external
idempiere_idempiere,maven,org.reficio:p2-maven-plugin,external
idempiere_idempiere,maven,org.codehaus.mojo:build-helper-maven-plugin,external
idempiere_idempiere,maven,org.eclipse.tycho.extras:tycho-document-bundle-plugin,external
idempiere_idempiere,maven,com.googlecode.maven-download-plugin:download-maven-plugin,external
