project,ci_tool,build_tool,raw_arguments,local_cache,remote_cache,parallelism
vaticle_biograkn,circle_ci,bazel,test --test_output=streamed //migrator:assemble-mock-test,False,False,2
vaticle_biograkn,circle_ci,bazel,build @graknlabs_grakn_core//:assemble-mac-zip,False,False,2
vaticle_biograkn,circle_ci,bazel,test --test_output=streamed //migrator:assemble-mock-test,False,False,2
vaticle_biograkn,circle_ci,bazel,test //migrator:assemble-all-test,False,False,2
vaticle_biograkn,circle_ci,bazel,build @graknlabs_grakn_core//:assemble-mac-zip,False,False,2
vaticle_biograkn,circle_ci,bazel,test //migrator:assemble-all-test,False,False,2
vaticle_biograkn,circle_ci,bazel,run @graknlabs_build_tools//ci:release-validate-deps -- \,False,False,2
bazelbuild_buildtools,buildkite,bazel,test,False,False,2
bazelbuild_buildtools,buildkite,bazel,test,False,False,2
bazelbuild_buildtools,buildkite,bazel,test,False,False,2
bazelbuild_buildtools,buildkite,bazel,test--enable_runfiles,False,False,2
yuxiangw_autodp,github_actions,bazel,build ...,False,False,2
yuxiangw_autodp,github_actions,bazel,test --test_output=errors ...,False,False,2
jbcoe_polymorphic_value,github_actions,bazel,test //...,False,False,2
bazelbuild_rules_python,github_actions,bazel,--bazelrc=.github/workflows/ci.bazelrc --bazelrc=.bazelrc test //...,False,False,2
jupp0r_prometheus-cpp,github_actions,bazel,build --config=ssl ${{ matrix.bazel_args }} //...,False,False,2
jupp0r_prometheus-cpp,github_actions,bazel,test --config=ssl ${{ matrix.bazel_args }} --test_output=all //...,False,False,2
jupp0r_prometheus-cpp,github_actions,bazel,build ${{ matrix.bazel_args }} //...,False,False,2
jupp0r_prometheus-cpp,github_actions,bazel,test ${{ matrix.bazel_args }} --test_output=all //...,False,False,2
jupp0r_prometheus-cpp,github_actions,bazel,test ${{ matrix.bazel_args }} --test_output=all //pull/tests/integration:scrape-test,False,False,2
jupp0r_prometheus-cpp,github_actions,bazel,run ${{ matrix.bazel_args }} -c opt //core/benchmarks,False,False,2
aspect-build_rules_js,github_actions,bazel,--bazelrc=$GITHUB_WORKSPACE/.github/workflows/ci.bazelrc --bazelrc=.bazelrc test --config=${{ matrix.config }}  //...,False,False,2
aspect-build_rules_js,github_actions,bazel,--bazelrc=$GITHUB_WORKSPACE/.github/workflows/ci.bazelrc --bazelrc=.bazelrc coverage --config=${{ matrix.config }} --instrument_test_targets //...,False,False,2
aspect-build_rules_js,github_actions,bazel,--bazelrc=.github/workflows/ci.bazelrc --bazelrc=.bazelrc test //...,False,False,2
cartographer-project_cartographer,buildkite,bazel,build ,False,False,2
cartographer-project_cartographer,buildkite,bazel,test,False,False,2
googleapis_googleapis,github_actions,bazel,build //google/cloud/compute/v1:compute_gen,False,False,2
googleapis_googleapis,github_actions,bazel,build //google/cloud/compute/v1/...,False,False,2
google_closure-templates,buildkite,bazel,build ,False,False,2
google_closure-templates,buildkite,bazel,build ,False,False,2
google_closure-templates,buildkite,bazel,build ,False,False,2
google_closure-templates,buildkite,bazel,build ,False,False,2
google_closure-templates,buildkite,bazel,build ,False,False,2
masc-ucsc_livehd,github_actions,bazel,build -s //...,False,False,2
masc-ucsc_livehd,github_actions,bazel,query --output label_kind //...,False,False,2
masc-ucsc_livehd,github_actions,bazel,coverage --instrument_test_targets --collect_code_coverage --test_tag_filters=-fixme --combined_report=lcov --test_output=all //...,False,False,2
masc-ucsc_livehd,github_actions,bazel,${{ matrix.action }} --config=clang --test_tag_filters=-fixme --test_output=all -s //...,False,False,2
snape_RVO2-3D,github_actions,bazel,test --flaky_test_attempts=3 ...,False,False,2
snape_RVO2-3D,github_actions,bazel,test --flaky_test_attempts=3 ...,False,False,3
snape_RVO2-3D,github_actions,bazel,test --flaky_test_attempts=3 ...,False,False,2
snape_RVO2,github_actions,bazel,test --flaky_test_attempts=3 ...,False,False,2
snape_RVO2,github_actions,bazel,test --flaky_test_attempts=3 ...,False,False,3
snape_RVO2,github_actions,bazel,test --flaky_test_attempts=3 ...,False,False,2
FirebaseExtended_protobuf-rules-gen,github_actions,bazel,build @com_google_protobuf//:protoc,False,False,2
